     3537     5.20000
     0.575605    1.430157   -1.308707
     0.070594    1.556374   -1.289224
    -0.468759    1.506346   -1.265136
    -0.990480    1.285279   -1.206810
    -1.435136    0.896418   -1.107340
    -1.744289    0.450404   -0.918682
    -1.858575   -0.335401   -0.722903
     0.346480   -1.975987   -0.254579
     1.331424   -1.454532   -0.448361
     1.723835   -0.727481   -0.767169
     1.840862   -0.102429   -0.830734
     1.767068    0.480083   -0.858122
     1.535637    0.990888   -0.865647
     1.172561    1.396536   -0.874168
     0.711587    1.677513   -0.876913
     0.184562    1.817037   -0.868157
    -0.374661    1.792339   -0.858216
    -0.925831    1.595077   -0.829428
    -1.429570    1.207527   -0.766544
    -1.899923    0.528163   -0.448017
    -1.917436   -0.588905   -0.256927
     0.923935   -1.750107   -0.415755
     1.654752   -1.093639   -0.393869
     1.913784   -0.526574   -0.386694
     1.980650    0.069448   -0.401977
     1.878305    0.631445   -0.403275
     1.630002    1.128592   -0.398442
     1.259116    1.531108   -0.399647
     0.792756    1.815628   -0.405482
     0.264086    1.964232   -0.401789
    -0.290983    1.960419   -0.401831
    -0.836511    1.797288   -0.399233
    -1.336657    1.467622   -0.385765
    -1.724708    0.979654   -0.393755
    -1.978812    0.031347   -0.415574
     0.940385   -1.789440    0.054443
     1.698972   -1.091841    0.103741
     1.966728   -0.465665    0.067233
     2.017854    0.112409    0.070795
     1.909171    0.661925    0.079408
     1.656746    1.156010    0.090636
     1.282171    1.560993    0.093385
     0.810784    1.850774    0.081531
     0.275747    2.001489    0.085948
    -0.279846    2.001050    0.082878
    -0.817323    1.848161    0.075276
    -1.307065    1.541515    0.068539
    -1.743195    1.019762    0.103633
    -2.021300    0.028721    0.053893
    -0.091839   -2.020124    0.006795
     1.357215   -1.486720    0.192390
     1.838312   -0.720000    0.437710
     1.956237   -0.053482    0.509566
     1.866559    0.555458    0.544801
     1.615581    1.074469    0.569911
     1.241155    1.487546    0.579763
     0.768950    1.785391    0.557205
     0.221274    1.929301    0.564107
    -0.355409    1.912827    0.551506
    -0.935010    1.717140    0.516303
    -1.474679    1.312106    0.439412
    -1.939891    0.536995    0.194534
    -1.764200   -0.988358    0.011360
     0.873213   -1.744569    0.532316
     1.473481   -1.225007    0.646215
     1.687875   -0.692404    0.872376
     1.788590   -0.135489    0.933795
     1.717225    0.424393    0.980006
     1.483868    0.920086    1.020274
     1.127257    1.316871    1.041406
     0.679010    1.620869    1.000556
     0.140312    1.743971    1.014032
    -0.408680    1.714864    0.990760
    -0.932424    1.526810    0.942773
    -1.377538    1.194027    0.875255
    -1.756413    0.764377    0.648171
    -1.950537   -0.008569    0.533585
     0.408623   -1.952577    0.331441
     1.074123   -1.445290    0.920205
     1.365210   -0.957065    1.144382
     1.509873   -0.365447    1.294648
     1.480242    0.191043    1.364467
     1.272749    0.672112    1.420478
     0.935704    1.039507    1.460571
     0.536598    1.364785    1.392411
     0.005870    1.441397    1.418352
    -0.506703    1.385047    1.383574
    -0.999936    1.171971    1.309960
    -1.463488    0.791042    1.149713
    -1.775040    0.310606    0.917682
    -1.928316   -0.512025    0.329861
     0.002995   -1.911651    0.659518
     0.568100   -1.691490    0.951582
     0.942367   -1.141206    1.378033
     1.115487   -0.657812    1.553175
     1.143725   -0.140325    1.661802
     0.992962    0.331924    1.730097
     0.650418    0.642973    1.803587
     0.340169    1.023255    1.710736
    -0.162288    0.990915    1.755315
    -0.623483    0.917061    1.691050
    -1.087207    0.693773    1.557575
    -1.448471    0.327087    1.372709
    -1.764100   -0.250565    0.956322
    -1.714015   -0.862682    0.638213
    -0.451292   -1.949706    0.290459
     0.091733   -1.633823    1.188103
     0.489990   -1.368211    1.406162
     0.481784   -0.951101    1.718335
     0.680199   -0.505027    1.836208
     0.618991   -0.014120    1.925106
     0.159416    0.006659    2.015918
     0.139690    0.545181    1.942330
    -0.317543    0.321884    1.971025
    -0.754126    0.385709    1.836275
    -1.064064    0.021467    1.719503
    -1.442439   -0.178978    1.405959
    -1.515565   -0.682904    1.151559
    -1.526378   -1.308764    0.216077
    -0.871117   -1.815037    0.190208
    -0.362357   -1.720508    0.998965
    -0.807978   -1.660832    0.823524
    -0.027439   -1.218100    1.613959
    -0.496919   -1.338923    1.431691
     0.104756   -0.641671    1.914854
    -0.409360   -0.813664    1.805480
    -0.269452   -0.252163    1.988264
    -0.739125   -0.354316    1.848658
    -0.870580   -0.998271    1.528047
    -1.148813   -0.611705    1.547717
    -1.031625   -1.332374    1.117995
    -1.398699   -1.152462    0.897137
    -1.214379   -1.577696    0.354321
    -0.551254   -2.493490   -0.488495
    -0.473644   -2.238296   -1.235189
    -0.038543   -2.032470   -1.620981
    -0.456079   -1.853318   -1.765561
     0.091770   -1.586995   -2.057431
     0.343231   -0.994466   -2.377652
    -0.176133   -1.243325   -2.276647
     0.250038   -0.409072   -2.555414
    -0.194667   -0.718597   -2.491129
    -0.432577   -0.237883   -2.552702
    -0.665713   -1.005345   -2.303499
    -0.901961   -0.564363   -2.372332
    -0.680235   -1.496660   -2.014271
    -1.114819   -1.227063   -2.002872
    -0.987409   -1.811178   -1.582611
    -0.931784   -2.171878   -1.083847
    -1.001103   -2.352726   -0.471672
    -0.081300   -2.424307   -0.936016
     0.277746   -2.228097   -1.310893
     0.500987   -1.779335   -1.828381
     0.694015   -1.343275   -2.115172
     0.971385   -0.912332   -2.232501
     0.756524   -0.505288   -2.435643
     0.755511    0.000594   -2.487811
     0.441142    0.399316   -2.530996
     0.002292    0.061555   -2.599270
    -0.123277    0.591645   -2.528786
    -0.610070    0.443789   -2.488145
    -0.880909    0.031963   -2.446013
    -1.321276   -0.124070   -2.235808
    -1.377744   -0.647111   -2.107859
    -1.537530   -1.085896   -1.793553
    -1.440113   -1.603490   -1.454268
    -1.394246   -1.959516   -0.988116
    -0.009717   -2.560996   -0.448559
     0.812233   -1.975126   -1.482955
     1.115103   -1.520870   -1.789833
     1.395963   -1.043739   -1.929221
     1.344857   -0.484487   -2.171781
     1.287086    0.014047   -2.259029
     1.079328    0.475651   -2.317069
     0.791183    0.882826   -2.314011
     0.310074    0.944441   -2.402475
    -0.114040    1.183243   -2.312343
    -0.587680    1.022165   -2.317285
    -1.026136    0.771560   -2.260916
    -1.372475    0.415007   -2.168890
    -1.747954   -0.023822   -1.924601
    -1.818479   -0.567919   -1.769350
    -1.847662   -1.191554   -1.387928
    -1.470686   -2.091614   -0.471419
     0.666816   -2.298879   -1.015140
     1.272512   -1.852711   -1.306972
     1.591178   -1.394757   -1.510895
     1.753322   -0.692122   -1.790762
     1.745715   -0.111607   -1.923544
     1.611631    0.437641   -1.992766
     1.350766    0.912906   -2.025348
     0.969544    1.304947   -2.029063
     0.474827    1.454896   -2.101860
    -0.013492    1.627777   -2.027353
    -0.553212    1.533871   -2.025141
    -1.043830    1.302883   -1.993217
    -1.476947    0.941150   -1.921682
    -1.826168    0.472793   -1.789295
    -2.117191   -0.179880   -1.498380
    -2.111452   -0.750358   -1.318611
    -1.824971   -1.563643   -0.992221
     0.932815   -2.366578   -0.537738
     1.686580   -1.715068   -0.986909
     1.945315   -1.044132   -1.373148
     2.072038   -0.403801   -1.517762
     2.031002    0.216267   -1.608807
     1.851553    0.780319   -1.650108
     1.537866    1.264851   -1.671862
     1.112801    1.645690   -1.677313
     0.602557    1.850115   -1.724529
     0.069531    1.986469   -1.676039
    -0.498923    1.927906   -1.671602
    -1.037798    1.720188   -1.650432
    -1.515301    1.370712   -1.607797
    -1.914675    0.892703   -1.515619
    -2.190153    0.310168   -1.366392
    -2.372468   -0.414156   -0.979730
    -2.134618   -1.383921   -0.536813
     1.268245   -2.106602   -0.844858
     2.035200   -1.338735   -0.908707
     2.257317   -0.722450   -1.068918
     2.313028   -0.121276   -1.181184
     2.241113    0.472253   -1.230605
     2.025051    1.037976   -1.257686
     1.678223    1.526529   -1.270148
     1.224985    1.906145   -1.275157
     0.695945    2.139152   -1.303720
     0.130844    2.262502   -1.274348
    -0.459488    2.221696   -1.270015
    -1.027557    2.030084   -1.258127
    -1.535207    1.699970   -1.230140
    -1.942511    1.262627   -1.180010
    -2.253571    0.746830   -1.060029
    -2.433684    0.103737   -0.909076
    -2.247226   -0.987453   -0.857271
     0.498323   -2.516940   -0.420341
     1.876678   -1.749678   -0.420364
     2.373034   -0.882663   -0.591281
     2.487954   -0.102516   -0.748046
     2.401248    0.588070   -0.805096
     2.155708    1.194359   -0.828510
     1.783730    1.697472   -0.834804
     1.308918    2.083847   -0.839235
     0.759569    2.334219   -0.857016
     0.167958    2.455216   -0.838872
    -0.443505    2.422016   -0.834949
    -1.040574    2.233688   -0.829362
    -1.596387    1.887679   -0.805119
    -2.073279    1.379978   -0.746442
    -2.441871    0.675582   -0.583827
    -2.545396   -0.320215   -0.422399
    -1.847124   -1.788039   -0.388649
     1.466568   -2.113174   -0.379040
     2.214385   -1.305213   -0.391049
     2.529318   -0.452309   -0.397450
