   0.2722  -0.0669  -0.0699
   0.2742   0.0434  -0.0799
   0.2383   0.1477  -0.0699
   0.2722  -0.0668   0.0699
   0.2742   0.0434   0.0798
   0.2383   0.1476   0.0699
  -0.2362  -0.6429  -0.5311
   0.0505  -0.4232  -0.7546
   0.2003  -0.1054  -0.8366
   0.0668   0.2155  -0.8368
  -0.2627   0.3362  -0.7544
  -0.6212   0.2878  -0.5314
   0.1492  -0.7618  -0.3853
   0.5431  -0.3827  -0.5565
   0.6248   0.0384  -0.5994
   0.4692   0.4143  -0.5995
   0.1140   0.6546  -0.5564
  -0.4333   0.6444  -0.3849
   0.4590  -0.7123  -0.1818
   0.7759  -0.3290  -0.2022
   0.8323   0.1122  -0.2141
   0.6682   0.5088  -0.2141
   0.3165   0.7810  -0.2022
  -0.1786   0.8283  -0.1819
   0.4463  -0.7218   0.1761
   0.7747  -0.3321   0.2015
   0.8327   0.1116   0.2129
   0.6680   0.5094   0.2129
   0.3135   0.7825   0.2014
  -0.1943   0.8260   0.1761
   0.1521  -0.7573   0.3929
   0.5450  -0.3825   0.5548
   0.6260   0.0388   0.5981
   0.4703   0.4148   0.5982
   0.1155   0.6558   0.5547
  -0.4281   0.6432   0.3925
  -0.2371  -0.6420   0.5318
   0.0521  -0.4222   0.7551
   0.2019  -0.1046   0.8363
   0.0685   0.2160   0.8365
  -0.2609   0.3367   0.7548
  -0.6212   0.2865   0.5320
  -0.8328  -1.1119  -0.3957
  -0.5073  -1.0280  -0.8788
  -0.4356  -0.6854  -1.1945
   0.0368  -0.6174  -1.3053
   0.1705  -0.1602  -1.4254
  -0.1581   0.1556  -1.4273
  -0.6211   0.1460  -1.2959
  -0.7355  -0.3320  -1.1980
  -1.0923  -0.3247  -0.8876
  -1.2266  -0.6477  -0.4030
  -0.2484  -1.3000  -0.5786
   0.1845  -1.0584  -0.9655
   0.5573  -0.6708  -1.1515
   0.7149  -0.2157  -1.2365
   0.6243   0.2383  -1.2806
   0.3247   0.5710  -1.2865
  -0.1007   0.7289  -1.2430
  -0.5704   0.6640  -1.1490
  -1.0187   0.3527  -0.9614
  -1.3246  -0.0465  -0.5741
   0.4048  -1.2952  -0.4949
   0.7526  -0.9630  -0.7698
   1.0453  -0.5078  -0.8578
