     5.00     -1.3068      0.7087      3.3896     -0.1594      0.1547   -455.1385     -0.2582     -0.3143      0.5295      2.0272      0.0009      3.5925
    10.00     -0.4674     -0.4128     -3.5751      0.1712     -0.1828   -366.1386      0.2098     -1.0931      0.2665     -1.6411     -0.2183     10.7842
    15.00      1.4321     -0.0879     -5.4693      0.2541      0.0044   -300.6969      0.3032      0.7156      0.6143      0.3116      0.0719      0.3931
    20.00      0.5187     -3.1832     -1.4034     -0.0290     -0.0532   -336.8916     -0.0714     -0.0524      0.4850      0.3974     -1.3288      1.8199
    25.00      1.4689      4.3084      2.8911      0.2380      0.5335   -449.5491     -0.0875     -0.2412      0.8496     -0.5486      1.1299      2.4740
    30.00     -3.1355      0.2011      9.8814     -0.9104      0.4296   -484.1127      0.2069     -0.3003      0.7492      0.8782     -0.3500      0.0379
    35.00     -2.4727     -2.1546     -4.7873      0.1206     -0.9607   -388.6235      0.4487      0.1355      0.4157     -1.4314      0.7781      1.2756
    40.00      3.4068     -0.2230      5.0835      0.5117     -0.5336   -417.6019      0.0271     -0.1460      0.4656      0.5637      2.8259      0.3088
    45.00      0.2301      3.7558     -4.7156     -0.3996      0.8888   -351.1549      0.4887     -0.0118      0.3247      0.1526     -2.8211     -0.1270
    50.00     -2.0702      1.4866     -6.9431     -0.4357      0.8206   -278.9476     -0.4100      0.3581      0.5824     -0.6587     -1.8281     -6.1703
    55.00     -0.1273      0.8682     -3.6336      0.4215      0.2843   -383.5577     -0.4661      0.2691      0.7361     -2.2843      0.4169     -6.4131
    60.00     -2.8143      3.1557     19.3707     -0.7277      1.2569   -479.9686      1.0612      0.8887      0.7446      0.9907     -3.1003      4.3291
    65.00     -0.7557     -0.6385     -8.2004     -0.2263     -0.1770   -378.5129      0.3772     -0.6589      0.2089      1.4841      1.4836     -5.4336
    70.00     -0.9024     -4.3494     -5.8948     -0.6781     -0.8580   -340.5707     -0.4719      0.3196      0.7702      3.0912     -1.1857      0.9789
    75.00     -9.9185      6.5505     10.4969     -1.3129      0.8150   -457.7475     -0.2378     -0.0980      0.7092     -0.6286      1.2489     -3.5109
    80.00      1.4354      0.2625    -12.6728      0.0676      0.2529   -400.4373      0.2974      0.5217      0.6349     -1.3059     -2.1131     -2.3602
    85.00     -2.1443     -0.4762      7.2102     -0.5053      0.1986   -477.0276      0.1871      0.6275      0.5655      0.2067     -3.3611      5.1032
    90.00     10.6247      1.7083      4.3855      1.5667     -0.2449   -454.7193      0.1241      0.3447      0.5962     -0.4540      0.3671     -3.1001
    95.00     -4.2326     -0.6479     -5.8125     -0.9674      0.2403   -422.1174      0.1050     -0.6436      0.6318      0.8242      2.2819      5.7013
