
          Chain Length Dstribution
 No. of Chains =    0   No. of Beads per Chain =    0
 No. of Fluid Particles =    3142
 Concentration of Suspesion 0.0000


    No.     X        Y        Z     Chain Len      No. of Samples
       1 -17.0348 -17.0348  -8.2990  0.00000E+00      0
    1601 -17.0348 -17.0348  -7.4254  0.00000E+00      0
    3201 -17.0348 -17.0348  -6.5519  0.00000E+00      0
    4801 -17.0348 -17.0348  -5.6783  0.00000E+00      0
    6401 -17.0348 -17.0348  -4.8047  0.00000E+00      0
    8001 -17.0348 -17.0348  -3.9311  0.00000E+00      0
    9601 -17.0348 -17.0348  -3.0575  0.00000E+00      0
   11201 -17.0348 -17.0348  -2.1840  0.00000E+00      0
   12801 -17.0348 -17.0348  -1.3104  0.00000E+00      0
   14401 -17.0348 -17.0348  -0.4368  0.00000E+00      0
   16001 -17.0348 -17.0348   0.4368  0.00000E+00      0
   17601 -17.0348 -17.0348   1.3104  0.00000E+00      0
   19201 -17.0348 -17.0348   2.1840  0.00000E+00      0
   20801 -17.0348 -17.0348   3.0575  0.00000E+00      0
   22401 -17.0348 -17.0348   3.9311  0.00000E+00      0
   24001 -17.0348 -17.0348   4.8047  0.00000E+00      0
   25601 -17.0348 -17.0348   5.6783  0.00000E+00      0
   27201 -17.0348 -17.0348   6.5519  0.00000E+00      0
   28801 -17.0348 -17.0348   7.4254  0.00000E+00      0
   30401 -17.0348 -17.0348   8.2990  0.00000E+00      0
      41 -17.0348 -16.1612  -8.2990  0.00000E+00      0
    1641 -17.0348 -16.1612  -7.4254  0.00000E+00      0
    3241 -17.0348 -16.1612  -6.5519  0.00000E+00      0
    4841 -17.0348 -16.1612  -5.6783  0.00000E+00      0
    6441 -17.0348 -16.1612  -4.8047  0.00000E+00      0
    8041 -17.0348 -16.1612  -3.9311  0.00000E+00      0
    9641 -17.0348 -16.1612  -3.0575  0.00000E+00      0
   11241 -17.0348 -16.1612  -2.1840  0.00000E+00      0
   12841 -17.0348 -16.1612  -1.3104  0.00000E+00      0
   14441 -17.0348 -16.1612  -0.4368  0.00000E+00      0
   16041 -17.0348 -16.1612   0.4368  0.00000E+00      0
   17641 -17.0348 -16.1612   1.3104  0.00000E+00      0
   19241 -17.0348 -16.1612   2.1840  0.00000E+00      0
   20841 -17.0348 -16.1612   3.0575  0.00000E+00      0
   22441 -17.0348 -16.1612   3.9311  0.00000E+00      0
   24041 -17.0348 -16.1612   4.8047  0.00000E+00      0
   25641 -17.0348 -16.1612   5.6783  0.00000E+00      0
   27241 -17.0348 -16.1612   6.5519  0.00000E+00      0
   28841 -17.0348 -16.1612   7.4254  0.00000E+00      0
   30441 -17.0348 -16.1612   8.2990  0.00000E+00      0
      81 -17.0348 -15.2877  -8.2990  0.00000E+00      0
    1681 -17.0348 -15.2877  -7.4254  0.00000E+00      0
    3281 -17.0348 -15.2877  -6.5519  0.00000E+00      0
    4881 -17.0348 -15.2877  -5.6783  0.00000E+00      0
    6481 -17.0348 -15.2877  -4.8047  0.00000E+00      0
    8081 -17.0348 -15.2877  -3.9311  0.00000E+00      0
    9681 -17.0348 -15.2877  -3.0575  0.00000E+00      0
   11281 -17.0348 -15.2877  -2.1840  0.00000E+00      0
   12881 -17.0348 -15.2877  -1.3104  0.00000E+00      0
   14481 -17.0348 -15.2877  -0.4368  0.00000E+00      0
   16081 -17.0348 -15.2877   0.4368  0.00000E+00      0
   17681 -17.0348 -15.2877   1.3104  0.00000E+00      0
   19281 -17.0348 -15.2877   2.1840  0.00000E+00      0
   20881 -17.0348 -15.2877   3.0575  0.00000E+00      0
   22481 -17.0348 -15.2877   3.9311  0.00000E+00      0
   24081 -17.0348 -15.2877   4.8047  0.00000E+00      0
   25681 -17.0348 -15.2877   5.6783  0.00000E+00      0
   27281 -17.0348 -15.2877   6.5519  0.00000E+00      0
